Sector,Ticker,Ann_Return,Volatility,Sharpe_Ratio
Tech_0_Macro,XLK,25.09%,26.70%,0.94
Tech_1_Semi,SMH,56.14%,36.45%,1.54
Tech_2_Soft,IGV,-8.07%,28.26%,-0.29
Tech_3_Cyber,CIBR,1.78%,24.22%,0.07
Tech_4_Cloud,SKYY,4.10%,29.62%,0.14
Health_0_Macro,XLV,5.18%,17.61%,0.29
Health_1_Biotech,IBB,21.36%,23.64%,0.90
Health_2_Device,IHI,-7.45%,18.86%,-0.40
Health_3_Pharma,PPH,15.34%,19.61%,0.78
Fin_0_Macro,XLF,1.33%,19.26%,0.07
Fin_1_RegBank,KRE,15.18%,28.35%,0.54
Fin_2_Broker,IAI,14.83%,24.17%,0.61
Fin_3_Insur,KIE,-4.61%,19.76%,-0.23
Discr_0_Macro,XLY,14.55%,23.69%,0.61
Discr_1_Retail,XRT,18.50%,25.02%,0.74
Discr_2_Home,XHB,7.13%,29.10%,0.25
Discr_3_Auto,CARZ,39.87%,29.98%,1.33
Stapl_0_Macro,XLP,8.91%,13.95%,0.64
Stapl_1_FoodBev,PBJ,10.62%,14.43%,0.74
Stapl_2_Agri,MOO,22.62%,16.74%,1.35
Energy_0_Macro,XLE,31.33%,24.96%,1.26
Energy_1_OilGas,XOP,35.80%,33.55%,1.07
Energy_2_Equip,OIH,46.88%,37.91%,1.24
Energy_3_Clean,ICLN,47.18%,24.98%,1.89
Indus_0_Macro,XLI,24.40%,19.24%,1.27
Indus_1_AeroDef,ITA,42.81%,22.93%,1.87
Indus_2_Transp,IYT,14.62%,26.00%,0.56
Indus_3_Infra,PAVE,28.77%,22.32%,1.29
Mat_0_Macro,XLB,17.09%,20.75%,0.82
Mat_1_GoldMin,GDX,91.54%,44.08%,2.08
Mat_2_Copper,COPX,70.44%,40.46%,1.74
Mat_3_Chem,VAW,19.26%,21.11%,0.91
Util_0_Macro,XLU,19.99%,15.43%,1.30
Util_1_Water,CGW,14.83%,14.38%,1.03
Util_2_Solar,TAN,53.68%,39.02%,1.38
RE_0_Macro,XLRE,4.34%,16.10%,0.27
RE_1_DataCtr,SRVR,7.30%,17.85%,0.41
RE_2_Mortgage,REM,1.45%,20.23%,0.07
Comm_0_Macro,XLC,17.81%,18.28%,0.97
Comm_1_Telecom,IYZ,37.74%,18.05%,2.09
Comm_2_Media,PBS,1.19%,24.20%,0.05
Macro_Gold,GLD,58.78%,26.20%,2.24
Macro_LongBond,TLT,0.04%,11.32%,0.00
Macro_Cmdty,PDBC,30.25%,17.87%,1.69
